0	0.0002754652814473957
1	0.00020208001660648733
2	0.00018274071044288576
3	0.0001630159531487152
4	0.00014927062147762626
5	0.00013527795090340078
6	0.00011815180914709345
7	0.00011883747356478125
8	0.00012440244609024376
9	0.00011235503188800067
10	0.00010673537326510996
11	9.036226401804015e-05
12	8.24161761556752e-05
13	7.705558527959511e-05
14	6.250844307942316e-05
15	7.845689833629876e-05
16	8.558766421629116e-05
17	7.082258525770158e-05
18	8.478781091980636e-05
19	7.480200292775407e-05
20	7.961630763020366e-05
21	7.244317384902388e-05
22	6.682083039777353e-05
23	7.586964056827128e-05
24	7.176636427175254e-05
25	6.70580702717416e-05
26	8.021735266083851e-05
27	6.30969152553007e-05
28	6.203839438967407e-05
29	7.082821684889495e-05
30	7.026917592156678e-05
31	6.893956015119329e-05
